media_ID,media_type,media_title,runtime,average_rating
tt0113820,movie,Mighty Morphin Power Rangers: The Movie,95,8.4
tt0074901,movie,Mikey and Nicky,106,8.1
tt0037913,movie,Mildred Pierce,111,8.1
tt0217654,movie,Militia,89,6
tt0110516,movie,Milk Money,110,6
tt0097883,movie,Millennium,108,7.9
tt0291350,movie,Sennen joyÃ»,87,8.8
tt0283283,movie,Qianxi mÃ nbo,119,8.8
tt0100150,movie,Millers Crossing,115,7.5
tt0025504,movie,Million Dollar Baby,65,7.5
tt0167284,movie,Milo,91,6.1
tt0119675,movie,Mimic,105,8.3
tt0373152,movie,Mind the Gap,134,8.3
tt0959342,movie,Se upp fÃ¶r dÃ¥rarna,103,8.8
tt6875958,movie,Democracy Ltd.,86,8.7
tt0263746,movie,Mindstorm,97,8.7
tt0181689,movie,Minority Report,145,7.7
tt0125144,movie,Himala,124,6.9
tt0235596,movie,Mirakel,80,6.9
tt0349825,movie,Miracle,135,7.2
tt14355860,movie,Miracol,118,6.8
tt3012818,movie,ZÃ¡zrak,78,6.8
tt3045930,movie,Goraereul Chatneun Jajeongeo,100,6.9
tt6682904,movie,Stebuklas,91,6.9
tt0097889,movie,Miracle Mile,87,4.6
tt0057312,movie,Miracle of the White Stallions,118,4.6
tt0039628,movie,Miracle on 34th Street,96,6
tt0091524,movie,Miracles,87,8.5
tt0447590,tvSeries,HonÃ´ no mirÃ¢ju,325,7.3
tt0040597,movie,Miranda,80,7.3
tt0072443,movie,Zerkalo,107,8.2
tt0372427,movie,Mirror,80,8.3
tt1018697,movie,Chermin,100,8.3
tt0100156,movie,Mirror Mirror,104,7
tt0089601,movie,Mischief,100,6
tt0124006,movie,Mischievous,97,7.7
tt0100157,movie,Misery,107,8.6
tt0182254,movie,"Pokoj, rci, jad",117,7.7
tt0089603,movie,Mishima: A Life in Four Chapters,120,7.3
tt0212346,movie,Miss Congeniality,109,6.9
tt0097892,movie,Miss Firecracker,102,6.9
tt0043567,movie,FrÃ¶ken Julie,90,7.2
tt0189744,movie,Miss Julie,103,7
tt0053072,movie,Missile to the Moon,78,7.4
tt0084335,movie,Missing,122,7.8
tt0896815,movie,Sam hoi tsam yan,118,7.3
tt1562437,movie,Sil jong,99,6.6
tt1648934,tvSeries,Â¿DÃ³nde estÃ¡ Elisa?,42,7.1
tt0087727,movie,Missing in Action,101,6.7
tt0248185,movie,Mission Kashmir,154,5.5
tt0183523,movie,Mission to Mars,114,7.9
tt0060009,tvSeries,Mission: Impossible,50,7.1
tt0120755,movie,Mission: Impossible II,123,5.7
tt0095647,movie,Mississippi Burning,128,6.5
tt0102456,movie,Mississippi Masala,118,6.9
tt0064990,movie,La sirÃ¨ne du Mississipi,123,7.7
tt0048380,movie,Mister Roberts,123,6.1
tt0110538,movie,Mixed Nuts,97,8.4
tt0155877,movie,Mixing Nia,92,3.6
tt0100168,movie,Mo Better Blues,129,8
tt0104897,movie,Mo Money,89,8.3
tt0374407,tvSeries,KidÃ´ senshi Gundam Seed,50,6.8
tt0095262,movie,KidÃ´ Senshi Gundam: GyakushÃ» no ShÃ¢,124,7.4
tt0102460,movie,Mobsters,104,8.1
tt0439707,movie,Mobsters and Mormons,90,7.8
tt0021149,movie,Moby Dick,80,7.3
tt1984208,movie,Mo-bi-dik,112,5.8
tt0273822,movie,Mockingbird Dont Sing,98,7.7
tt0082763,movie,Modern Problems,93,7.2
tt0027977,movie,Modern Times,87,6.6
tt0060708,movie,Modesty Blaise,119,5.1
tt0367188,movie,Modigliani,128,5.1
tt0089610,movie,Mohabbat,134,5.4
tt0213890,movie,Mohabbatein,216,7.4
tt0110546,movie,Mohra,177,8
tt0400657,movie,Mojados: Through the Night,65,8.1
tt0117070,movie,Mojave Moon,95,8.1
tt0117071,movie,Moll Flanders,123,7.8
tt0085956,movie,Molly,88,7.8
tt0104905,movie,Mom and Dad Save the World,88,7.5
tt3181776,movie,Momentum,96,7
tt0082766,movie,Mommie Dearest,129,8
tt0113843,movie,Mommy,89,8.4
tt0050706,movie,Mon oncle,116,6.5
tt0091538,movie,Mona Lisa,104,8
tt0969298,movie,Meng na li sha,110,6.3
tt0304415,movie,Mona Lisa Smile,117,7.5
tt0319769,movie,Los lunes al sol,113,8.9
tt0411674,movie,Mondovino,135,7.2
tt0119695,movie,Money Talks,97,7.7
